Country,Group_Technology,Technology,RE_or_Non_RE,Year,Electricity_Installed_Capacity__MW_
Czechia,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2022,1.0
Czechia,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2023,1.0
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,1088.0
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,1090.0
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,1092.7
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,1092.519
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,1093.71
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,1093.926
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,1113.363
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,1113.576
Czechia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,1114.676
Denmark,Bioenergy,Biogas,Total Renewable,2015,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2016,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2017,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2018,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2019,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2020,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2021,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2022,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2023,5.0
Denmark,Bioenergy,Biogas,Total Renewable,2015,81.747
Denmark,Bioenergy,Biogas,Total Renewable,2016,84.543
Denmark,Bioenergy,Biogas,Total Renewable,2017,85.617
Denmark,Bioenergy,Biogas,Total Renewable,2018,85.617
Denmark,Bioenergy,Biogas,Total Renewable,2019,98.766
Denmark,Bioenergy,Biogas,Total Renewable,2020,109.353
Denmark,Bioenergy,Biogas,Total Renewable,2021,106.249
Denmark,Bioenergy,Biogas,Total Renewable,2022,102.77
Denmark,Bioenergy,Biogas,Total Renewable,2023,102.77
Denmark,Bioenergy,Biogas,Total Renewable,2015,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2016,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2017,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2018,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2019,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2020,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2021,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2022,17.0
Denmark,Bioenergy,Biogas,Total Renewable,2023,17.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2015,569.414
Denmark,Bioenergy,Solid biofuels,Total Renewable,2016,590.697
Denmark,Bioenergy,Solid biofuels,Total Renewable,2017,1060.26
Denmark,Bioenergy,Solid biofuels,Total Renewable,2018,1043.664
Denmark,Bioenergy,Solid biofuels,Total Renewable,2019,1240.11
Denmark,Bioenergy,Solid biofuels,Total Renewable,2020,1335.968
Denmark,Bioenergy,Solid biofuels,Total Renewable,2021,1406.796
Denmark,Bioenergy,Solid biofuels,Total Renewable,2022,1266.343
Denmark,Bioenergy,Solid biofuels,Total Renewable,2023,1266.343
Denmark,Bioenergy,Solid biofuels,Total Renewable,2015,180.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2016,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2017,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2018,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2019,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2020,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2021,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2022,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2023,217.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2015,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2016,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2017,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2018,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2019,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2020,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2021,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2022,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2023,140.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2015,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2016,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2017,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2018,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2019,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2020,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2021,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2022,84.0
Denmark,Bioenergy,Solid biofuels,Total Renewable,2023,84.0
Denmark,Bioenergy,Liquid biofuels,Total Renewable,2015,0.758
Denmark,Bioenergy,Liquid biofuels,Total Renewable,2016,0.355
Denmark,Bioenergy,Liquid biofuels,Total Renewable,2017,0.514
Denmark,Bioenergy,Liquid biofuels,Total Renewable,2018,0.514
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2015,165.532
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2016,165.976
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2017,181.876
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2018,181.458
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2019,180.524
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2020,177.993
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2021,175.514
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2022,174.481
Denmark,Bioenergy,Renewable municipal waste,Total Renewable,2023,174.481
Denmark,Wind energy,Onshore wind energy,Total Renewable,2015,3805.916
Denmark,Wind energy,Onshore wind energy,Total Renewable,2016,3974.092
Denmark,Wind energy,Onshore wind energy,Total Renewable,2017,4225.149
Denmark,Wind energy,Onshore wind energy,Total Renewable,2018,4421.86
Denmark,Wind energy,Onshore wind energy,Total Renewable,2019,4409.743
Denmark,Wind energy,Onshore wind energy,Total Renewable,2020,4557.637
Denmark,Wind energy,Onshore wind energy,Total Renewable,2021,4698.248
Denmark,Wind energy,Onshore wind energy,Total Renewable,2022,4778.118
Denmark,Wind energy,Onshore wind energy,Total Renewable,2023,4832.118
Denmark,Wind energy,Offshore wind energy,Total Renewable,2015,1271.05
Denmark,Wind energy,Offshore wind energy,Total Renewable,2016,1271.05
Denmark,Wind energy,Offshore wind energy,Total Renewable,2017,1263.8
Denmark,Wind energy,Offshore wind energy,Total Renewable,2018,1700.8
Denmark,Wind energy,Offshore wind energy,Total Renewable,2019,1700.8
Denmark,Wind energy,Offshore wind energy,Total Renewable,2020,1700.9
Denmark,Wind energy,Offshore wind energy,Total Renewable,2021,2305.7
Denmark,Wind energy,Offshore wind energy,Total Renewable,2022,2305.7
Denmark,Wind energy,Offshore wind energy,Total Renewable,2023,2649.7
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2015,6726.927
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2016,6649.614
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2017,5942.514
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2018,5907.387
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2019,5609.11
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2020,5304.687
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2021,5137.525
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2022,5255.738
Denmark,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2023,5255.738
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2015,782.108
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2016,850.953
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2017,906.35
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2018,998.0
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2019,1080.0
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2020,1304.294
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2021,1704.041
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2022,3069.9
Denmark,Solar energy,Solar photovoltaic,Total Renewable,2023,3529.0
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2015,165.532
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2016,165.976
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2017,181.876
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2018,181.458
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2019,180.524
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2020,177.993
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2021,175.514
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2022,174.481
Denmark,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2023,174.481
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,6.878
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,9.267
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,7.153
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,7.153
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,7.163
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,7.163
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,7.123
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,6.644
Denmark,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,6.644
Estonia,Bioenergy,Biogas,Total Renewable,2015,11.0
Estonia,Bioenergy,Biogas,Total Renewable,2016,1.0
Estonia,Bioenergy,Biogas,Total Renewable,2017,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2018,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2019,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2020,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2021,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2022,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2023,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2016,8.0
Estonia,Bioenergy,Biogas,Total Renewable,2017,5.0
Estonia,Bioenergy,Biogas,Total Renewable,2018,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2019,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2020,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2021,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2022,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2023,2.35
Estonia,Bioenergy,Biogas,Total Renewable,2016,2.0
Estonia,Bioenergy,Biogas,Total Renewable,2017,4.0
Estonia,Bioenergy,Biogas,Total Renewable,2018,5.0
Estonia,Bioenergy,Biogas,Total Renewable,2019,3.55
Estonia,Bioenergy,Biogas,Total Renewable,2020,6.65
Estonia,Bioenergy,Biogas,Total Renewable,2021,6.65
Estonia,Bioenergy,Biogas,Total Renewable,2022,6.65
Estonia,Bioenergy,Biogas,Total Renewable,2023,6.65
Estonia,Bioenergy,Solid biofuels,Total Renewable,2015,165.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2016,165.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2017,165.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2018,165.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2019,180.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2020,200.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2021,200.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2022,200.0
Estonia,Bioenergy,Solid biofuels,Total Renewable,2023,198.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2015,105.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2016,105.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2017,105.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2018,85.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2019,85.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2020,85.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2021,85.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2022,85.0
Estonia,Bioenergy,Renewable municipal waste,Total Renewable,2023,85.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2015,300.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2016,310.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2017,311.8
Estonia,Wind energy,Onshore wind energy,Total Renewable,2018,310.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2019,316.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2020,317.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2021,315.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2022,316.0
Estonia,Wind energy,Onshore wind energy,Total Renewable,2023,408.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2015,2165.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2016,1865.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2017,1782.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2018,2085.65
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2019,1905.1
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2020,1784.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2021,1272.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2022,1278.0
Estonia,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2023,1183.0
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2015,6.5
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2016,10.0
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2017,15.0
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2018,31.9
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2019,120.6
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2020,207.67
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2021,394.77
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2022,520.0
Estonia,Solar energy,Solar photovoltaic,Total Renewable,2023,690.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2015,105.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2016,105.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2017,145.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2018,125.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2019,125.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2020,125.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2021,125.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2022,125.0
Estonia,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2023,125.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,6.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,6.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,7.3
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,7.3
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,6.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,8.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,6.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,8.0
Estonia,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,8.0
Faroe Islands,Bioenergy,Biogas,Total Renewable,2020,0.32
Faroe Islands,Bioenergy,Biogas,Total Renewable,2021,1.7
Faroe Islands,Bioenergy,Biogas,Total Renewable,2022,1.7
Faroe Islands,Bioenergy,Biogas,Total Renewable,2023,1.7
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2015,20.31
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2016,20.31
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2017,20.31
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2018,16.35
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2019,12.75
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2020,19.05
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2021,22.5
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2022,22.5
Faroe Islands,Wind energy,Onshore wind energy,Total Renewable,2023,22.5
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2015,69.33
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2016,69.03
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2017,69.03
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2018,69.03
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2019,77.83
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2020,105.83
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2021,114.8
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2022,114.8
Faroe Islands,Fossil fuels,Oil,Total Non-Renewable,2023,114.8
Faroe Islands,Solar energy,Solar photovoltaic,Total Renewable,2019,0.261
Faroe Islands,Solar energy,Solar photovoltaic,Total Renewable,2020,0.261
Faroe Islands,Solar energy,Solar photovoltaic,Total Renewable,2021,0.261
Faroe Islands,Solar energy,Solar photovoltaic,Total Renewable,2022,0.261
Faroe Islands,Solar energy,Solar photovoltaic,Total Renewable,2023,0.261
Faroe Islands,Marine energy,Marine energy,Total Renewable,2015,0.3
Faroe Islands,Marine energy,Marine energy,Total Renewable,2020,0.1
Faroe Islands,Marine energy,Marine energy,Total Renewable,2021,0.1
Faroe Islands,Marine energy,Marine energy,Total Renewable,2022,0.1
Faroe Islands,Marine energy,Marine energy,Total Renewable,2023,0.1
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,39.3
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,39.3
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,39.3
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,39.7
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,39.7
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,39.7
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,39.7
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,39.7
Faroe Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,39.7
Finland,Nuclear,Nuclear,Total Non-Renewable,2015,2752.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2016,2764.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2017,2779.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2018,2784.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2019,2794.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2020,2794.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2021,2794.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2022,2794.0
Finland,Nuclear,Nuclear,Total Non-Renewable,2023,4394.0
Finland,Bioenergy,Biogas,Total Renewable,2015,102.0
Finland,Bioenergy,Biogas,Total Renewable,2016,114.0
Finland,Bioenergy,Biogas,Total Renewable,2017,116.0
Finland,Bioenergy,Biogas,Total Renewable,2018,116.0
Finland,Bioenergy,Biogas,Total Renewable,2019,116.0
Finland,Bioenergy,Biogas,Total Renewable,2020,116.0
Finland,Bioenergy,Biogas,Total Renewable,2021,116.0
Finland,Bioenergy,Biogas,Total Renewable,2022,116.0
Finland,Bioenergy,Biogas,Total Renewable,2023,116.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2015,1751.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2016,1747.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2017,1966.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2018,1966.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2019,1963.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2020,2442.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2021,2398.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2022,2835.0
Finland,Bioenergy,Solid biofuels,Total Renewable,2023,2697.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2015,134.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2016,148.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2017,148.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2018,148.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2019,148.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2020,148.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2021,197.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2022,246.0
Finland,Bioenergy,Renewable municipal waste,Total Renewable,2023,246.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2015,973.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2016,1533.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2017,1971.3
Finland,Wind energy,Onshore wind energy,Total Renewable,2018,1968.3
Finland,Wind energy,Onshore wind energy,Total Renewable,2019,2211.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2020,2513.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2021,3184.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2022,5604.0
Finland,Wind energy,Onshore wind energy,Total Renewable,2023,6884.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2015,32.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2016,32.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2017,72.7
Finland,Wind energy,Offshore wind energy,Total Renewable,2018,72.7
Finland,Wind energy,Offshore wind energy,Total Renewable,2019,73.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2020,73.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2021,73.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2022,73.0
Finland,Wind energy,Offshore wind energy,Total Renewable,2023,73.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2015,7721.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2016,6803.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2017,6889.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2018,6792.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2019,6789.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2020,5854.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2021,5754.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2022,5271.0
Finland,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2023,5091.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2015,17.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2016,39.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2017,82.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2018,140.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2019,222.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2020,318.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2021,425.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2022,664.0
Finland,Solar energy,Solar photovoltaic,Total Renewable,2023,900.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2015,59.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2016,59.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2017,69.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2018,69.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2019,69.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2020,69.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2021,69.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2022,110.0
Finland,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2023,122.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,3133.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,3133.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,3156.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,3152.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,3157.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,3164.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,3171.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,3171.0
Finland,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,3177.0
France,Nuclear,Nuclear,Total Non-Renewable,2015,63130.0
France,Nuclear,Nuclear,Total Non-Renewable,2016,63130.0
France,Nuclear,Nuclear,Total Non-Renewable,2017,63130.0
France,Nuclear,Nuclear,Total Non-Renewable,2018,63130.0
France,Nuclear,Nuclear,Total Non-Renewable,2019,63130.0
France,Nuclear,Nuclear,Total Non-Renewable,2020,61400.0
France,Nuclear,Nuclear,Total Non-Renewable,2021,61400.0
France,Nuclear,Nuclear,Total Non-Renewable,2022,61400.0
France,Nuclear,Nuclear,Total Non-Renewable,2023,61400.0
France,Bioenergy,Biogas,Total Renewable,2015,248.0
France,Bioenergy,Biogas,Total Renewable,2016,260.0
France,Bioenergy,Biogas,Total Renewable,2017,263.0
France,Bioenergy,Biogas,Total Renewable,2018,269.0
France,Bioenergy,Biogas,Total Renewable,2019,266.0
France,Bioenergy,Biogas,Total Renewable,2020,265.0
France,Bioenergy,Biogas,Total Renewable,2021,260.0
France,Bioenergy,Biogas,Total Renewable,2022,260.0
France,Bioenergy,Biogas,Total Renewable,2023,260.0
France,Bioenergy,Biogas,Total Renewable,2015,129.324
France,Bioenergy,Biogas,Total Renewable,2016,143.212
France,Bioenergy,Biogas,Total Renewable,2017,178.314
France,Bioenergy,Biogas,Total Renewable,2018,196.859
France,Bioenergy,Biogas,Total Renewable,2019,236.539
